N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,a_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,-0.24371799660270912,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5501496092790837e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled; no-contact case,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.24121959999865794,legacy,continuation,0.9974740521085654,-0.0025259478914345657,6.283001670797554,0.005045515370118991,0.0,nan,nan,True,True
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,-0.24371799660270912,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.001,2,1,1,continuation,1.400365775724919e-15,0.9938931324038741,1.5521873012428346e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.2436026999985188,legacy,continuation,0.9974740521085654,-0.0025259478914345657,6.283001670797554,0.013084890514374644,0.008039375144255652,0.9938931324038741,0.0,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,-0.24371799660270912,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.003,2,1,1,continuation,1.3824889699874752e-15,0.9812052798729409,1.55622959459901e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.24603149999893503,legacy,continuation,0.9974740521085654,-0.0025259478914345657,6.283001670797554,0.029163640802885946,0.024118125432766955,0.9938931324038741,0.012687852530933186,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,-0.24371799660270912,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.01,2,1,1,continuation,1.3474170810069776e-15,0.9563134193302173,1.5696626296808696e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.24843419999888283,legacy,continuation,0.9974740521085654,-0.0025259478914345657,6.283001670797554,0.08543926681267552,0.08039375144255653,0.9812052798729409,0.02489186054272363,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,-0.31702613965602977,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.0,2,1,1,closest_to_a_nc,1.5125870147192006e-15,1.0735408363678847,1.4169946672638451e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.25026079999952344,legacy,continuation,1.075677591972029,0.07567759197202895,6.283001670797554,-0.1570822818707429,0.0,nan,nan,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,-0.31702613965602977,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.001,2,1,1,continuation,1.5125870147192006e-15,1.0735408363678847,1.4195586903425019e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.2526090999999724,legacy,continuation,1.075677591972029,0.07567759197202895,6.283001670797554,-0.14904290672648726,0.008039375144255652,1.0735408363678847,0.0,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,-0.31702613965602977,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.003,2,1,1,continuation,1.4932776137813508e-15,1.0598362162495965,1.4245806922367261e-36,-0.013704620118288213,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.2550065999985236,legacy,continuation,1.075677591972029,0.07567759197202895,6.283001670797554,-0.13296415643797596,0.024118125432766955,1.0735408363678847,0.013704620118288213,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,-0.31702613965602977,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.01,2,1,1,continuation,1.4553951656573154e-15,1.0329495944242137,1.4412251064901603e-36,-0.04059124194367092,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.25750539999899047,legacy,continuation,1.075677591972029,0.07567759197202895,6.283001670797554,-0.07668853042818638,0.08039375144255653,1.0598362162495965,0.026886621825382706,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,-0.30424756383578233,0.03439995793354612,1.1331455626870826,0.06555850698265145,1.4998390222457646e-15,1.0644930987046834,0.0,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4558410598782707e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.259388399999807,legacy,continuation,1.0644931012867498,0.06449310128674979,6.283001670797554,-0.13314556268708255,0.0,nan,nan,False,False
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,-0.30424756383578233,0.03439995793354612,1.1331455626870826,0.06555850698265145,1.4998390222457646e-15,1.0644930987046834,0.001,2,1,1,continuation,1.4932776137813508e-15,1.0598362162495965,1.4583072414573975e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled,local_cpp_scan,0.2187140999994881,0.016484600000694627,0.0039969999997993,0.26175209999928484,legacy,continuation,1.0644931012867498,0.06449310128674979,6.283001670797554,-0.1251061875428269,0.008039375144255652,1.0598362162495965,0.0,False,False
